idade,genero,estado,frequencia,combustivel,abastecimento,renda,posto,importancia,fidelidade-postos,aplicativo,motivo,conveniencia,classificacao
Mais de 50 anos,Feminino,Amapa,Diariamente,Gasolina comum,Sempre completo,Principal fonte de renda,Ale,Preço,Sim,Utilizo outros,Cashback,Não,3
18-24 anos,Outros,Mato Grosso,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,3
Mais de 50 anos,Prefiro não dizer,Maranhao,Diariamente,Gasolina comum,Sempre completo,Principal fonte de renda,Shell,Localização,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Prefiro não dizer,Tocantins,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ale,Atendimento,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,1
25-35 anos,Feminino,Bahia,Diariamente,Elétrico,Completo as vezes,Principal fonte de renda,BR,Loja de Conveniência,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
18-24 anos,Prefiro não dizer,Mato Grosso,2-4 vezes na semana,GNV,Completo as vezes,Locomoção para o trabalho,Texaco,Qualidade do combustível,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,1
25-35 anos,Feminino,Mato Grosso,Quinzenalmente,Gasolina comum,Completo as vezes,Lazer,Texaco,Loja de Conveniência,Sim,Utilizo outros,Cashback,Sim,3
25-35 anos,Prefiro não dizer,Mato Grosso do Sul,Diariamente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Utilizo outros,Cashback,Não,2
25-35 anos,Outros,Parana,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Localização,Não,Conheço e utilizo,Cashback,Sim,2
36-49 anos,Masculino,Acre,2-4 vezes na semana,Diesel,Conforme o uso,Principal fonte de renda,Texaco,Serviços Adicionais,Sim,Não conheço,Cashback,Sim,3
Mais de 50 anos,Masculino,Paraiba,Quinzenalmente,Gasolina comum,Completo as vezes,Lazer,Texaco,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Piaui,Semanalmente,GNV,Sempre completo,Lazer,Shell,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Não,3
Mais de 50 anos,Masculino,Paraiba,2-4 vezes na semana,GNV,Conforme o uso,Locomoção para o trabalho,Ipiranga,Serviços Adicionais,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Prefiro não dizer,Goias,Diariamente,Elétrico,Completo as vezes,Locomoção para o trabalho,Texaco,Loja de Conveniência,Sim,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Parana,Semanalmente,Diesel,Sempre completo,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,1
25-35 anos,Outros,Sao Paulo,Quinzenalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Texaco,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Sim,5
Mais de 50 anos,Masculino,Rio Grande do Sul,2-4 vezes na semana,Elétrico,Sempre completo,Lazer,Ale,Serviços Adicionais,Sim,Não conheço,Descontos em abastecimento/serviços,Não,2
18-24 anos,Masculino,Roraima,Diariamente,Diesel,Sempre completo,Locomoção para o trabalho,Shell,Atendimento,Não,Não conheço,Descontos em abastecimento/serviços,Sim,2
18-24 anos,Prefiro não dizer,Amazonas,2-4 vezes na semana,Diesel,Conforme o uso,Principal fonte de renda,BR,Atendimento,Sim,Conheço e utilizo,Cashback,Não,5
18-24 anos,Prefiro não dizer,Paraiba,Semanalmente,Etanol,Conforme o uso,Principal fonte de renda,Ale,Atendimento,Não,Não conheço,Cashback,Sim,3
Mais de 50 anos,Masculino,Distrito Federal,Diariamente,Gasolina Aditivada,Sempre completo,Principal fonte de renda,Texaco,Atendimento,Não,Utilizo outros,Cashback,Sim,5
25-35 anos,Outros,Mato Grosso,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Prefiro não dizer,Distrito Federal,2-4 vezes na semana,Diesel,Conforme o uso,Principal fonte de renda,BR,Loja de Conveniência,Sim,Não conheço,Cashback,Não,4
25-35 anos,Prefiro não dizer,Pernambuco,Diariamente,Diesel,Completo as vezes,Lazer,Ale,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,1
Mais de 50 anos,Prefiro não dizer,Parana,2-4 vezes na semana,Elétrico,Completo as vezes,Principal fonte de renda,Ale,Atendimento,Não,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Rondonia,Semanalmente,Etanol,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,5
36-49 anos,Prefiro não dizer,Bahia,Semanalmente,Diesel,Completo as vezes,Principal fonte de renda,BR,Serviços Adicionais,Não,Não conheço,Cashback,Não,5
Mais de 50 anos,Outros,Para,Quinzenalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Ale,Loja de Conveniência,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,4
36-49 anos,Prefiro não dizer,Pernambuco,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Cashback,Sim,1
18-24 anos,Masculino,Amazonas,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,Texaco,Localização,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Prefiro não dizer,Roraima,Diariamente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Preço,Não,Conheço mas não utilizo,Cashback,Não,3
Mais de 50 anos,Outros,Parana,Quinzenalmente,Etanol,Sempre completo,Locomoção para o trabalho,BR,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
18-24 anos,Prefiro não dizer,Acre,2-4 vezes na semana,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Prefiro não dizer,Para,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Feminino,Roraima,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,1
Mais de 50 anos,Feminino,Ceara,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,BR,Preço,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,3
18-24 anos,Prefiro não dizer,Sergipe,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Locomoção para o trabalho,Ipiranga,Localização,Sim,Utilizo outros,Cashback,Não,5
18-24 anos,Feminino,Distrito Federal,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Texaco,Preço,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,4
Mais de 50 anos,Prefiro não dizer,Mato Grosso do Sul,Diariamente,Diesel,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Masculino,Rio de Janeiro,Semanalmente,Diesel,Conforme o uso,Principal fonte de renda,Ale,Atendimento,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Prefiro não dizer,Parana,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,BR,Serviços Adicionais,Não,Não conheço,Cashback,Sim,4
Mais de 50 anos,Outros,Parana,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ale,Preço,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Outros,Ceara,Diariamente,Etanol,Completo as vezes,Principal fonte de renda,Ale,Serviços Adicionais,Sim,Utilizo outros,Cashback,Sim,1
36-49 anos,Prefiro não dizer,Goias,Diariamente,Elétrico,Conforme o uso,Lazer,Ipiranga,Qualidade do combustível,Não,Não conheço,Cashback,Não,2
25-35 anos,Prefiro não dizer,Santa Catarina,2-4 vezes na semana,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Texaco,Qualidade do combustível,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,3
18-24 anos,Prefiro não dizer,Rio Grande do Norte,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ale,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,2
25-35 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Elétrico,Sempre completo,Lazer,Texaco,Localização,Não,Utilizo outros,Cashback,Sim,3
Mais de 50 anos,Feminino,Bahia,2-4 vezes na semana,GNV,Completo as vezes,Locomoção para o trabalho,Ale,Loja de Conveniência,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,3
Mais de 50 anos,Outros,Rio de Janeiro,Quinzenalmente,Elétrico,Completo as vezes,Lazer,BR,Qualidade do combustível,Não,Conheço mas não utilizo,Cashback,Não,0
36-49 anos,Feminino,Tocantins,Semanalmente,Etanol,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,0
18-24 anos,Outros,Rio de Janeiro,Semanalmente,Etanol,Sempre completo,Principal fonte de renda,Shell,Atendimento,Sim,Utilizo outros,Cashback,Não,2
25-35 anos,Masculino,Acre,Semanalmente,Etanol,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Sim,Não conheço,Cashback,Não,5
25-35 anos,Outros,Acre,Diariamente,Gasolina comum,Completo as vezes,Locomoção para o trabalho,Ale,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Outros,Santa Catarina,Diariamente,Elétrico,Conforme o uso,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,2
25-35 anos,Outros,Pernambuco,Quinzenalmente,Elétrico,Completo as vezes,Lazer,Texaco,Qualidade do combustível,Sim,Não conheço,Cashback,Não,5
18-24 anos,Prefiro não dizer,Acre,Quinzenalmente,Diesel,Completo as vezes,Lazer,Petrobras,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,2
Mais de 50 anos,Masculino,Acre,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Lazer,Shell,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Prefiro não dizer,Distrito Federal,Semanalmente,Diesel,Sempre completo,Lazer,Ipiranga,Loja de Conveniência,Sim,Utilizo outros,Descontos em abastecimento/serviços,Sim,0
36-49 anos,Masculino,Distrito Federal,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Lazer,Ale,Qualidade do combustível,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,3
25-35 anos,Masculino,Bahia,Semanalmente,Gasolina Aditivada,Conforme o uso,Lazer,Shell,Loja de Conveniência,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Paraiba,Diariamente,Diesel,Sempre completo,Principal fonte de renda,Shell,Atendimento,Não,Utilizo outros,Cashback,Não,2
Mais de 50 anos,Outros,Rio Grande do Norte,Semanalmente,Gasolina comum,Conforme o uso,Lazer,Ipiranga,Preço,Não,Conheço e utilizo,Cashback,Sim,2
25-35 anos,Feminino,Tocantins,Diariamente,Diesel,Sempre completo,Lazer,Shell,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Feminino,Tocantins,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Prefiro não dizer,Rio Grande do Norte,Diariamente,Gasolina Aditivada,Conforme o uso,Lazer,Shell,Atendimento,Não,Não conheço,Descontos em abastecimento/serviços,Não,0
Mais de 50 anos,Outros,Alagoas,Diariamente,Diesel,Sempre completo,Locomoção para o trabalho,Texaco,Serviços Adicionais,Não,Não conheço,Cashback,Sim,4
25-35 anos,Prefiro não dizer,Rio Grande do Norte,Diariamente,Gasolina comum,Conforme o uso,Principal fonte de renda,BR,Localização,Sim,Utilizo outros,Cashback,Não,0
25-35 anos,Masculino,Sergipe,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Localização,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Sim,4
18-24 anos,Prefiro não dizer,Rio de Janeiro,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Qualidade do combustível,Sim,Não conheço,Cashback,Não,1
18-24 anos,Feminino,Espirito Santo,Quinzenalmente,GNV,Conforme o uso,Locomoção para o trabalho,BR,Serviços Adicionais,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,4
25-35 anos,Feminino,Para,Diariamente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Localização,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Prefiro não dizer,Paraiba,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,1
Mais de 50 anos,Masculino,Tocantins,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ale,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,0
Mais de 50 anos,Prefiro não dizer,Parana,2-4 vezes na semana,GNV,Completo as vezes,Lazer,Shell,Localização,Sim,Não conheço,Descontos em abastecimento/serviços,Não,5
18-24 anos,Prefiro não dizer,Acre,2-4 vezes na semana,GNV,Conforme o uso,Principal fonte de renda,Shell,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,0
Mais de 50 anos,Prefiro não dizer,Roraima,Diariamente,GNV,Sempre completo,Lazer,Ale,Serviços Adicionais,Não,Não conheço,Cashback,Não,0
18-24 anos,Outros,Rio Grande do Norte,Quinzenalmente,GNV,Completo as vezes,Lazer,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,0
Mais de 50 anos,Feminino,Espirito Santo,Semanalmente,Gasolina comum,Conforme o uso,Lazer,Ipiranga,Preço,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
36-49 anos,Feminino,Distrito Federal,2-4 vezes na semana,Gasolina comum,Sempre completo,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Não conheço,Cashback,Não,3
25-35 anos,Prefiro não dizer,Parana,Quinzenalmente,GNV,Completo as vezes,Lazer,Shell,Qualidade do combustível,Não,Não conheço,Cashback,Não,4
25-35 anos,Outros,Ceara,Quinzenalmente,Diesel,Sempre completo,Locomoção para o trabalho,BR,Localização,Sim,Utilizo outros,Cashback,Não,3
Mais de 50 anos,Masculino,Parana,Diariamente,Gasolina comum,Sempre completo,Lazer,BR,Preço,Não,Conheço e utilizo,Cashback,Sim,5
25-35 anos,Prefiro não dizer,Tocantins,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Atendimento,Não,Conheço e utilizo,Cashback,Sim,1
18-24 anos,Masculino,Amapa,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Não,Não conheço,Descontos em abastecimento/serviços,Não,2
25-35 anos,Masculino,Goias,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Texaco,Localização,Não,Conheço e utilizo,Cashback,Sim,5
25-35 anos,Masculino,Amazonas,Quinzenalmente,Elétrico,Sempre completo,Lazer,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,3
Mais de 50 anos,Masculino,Acre,Semanalmente,Gasolina Aditivada,Completo as vezes,Locomoção para o trabalho,Ipiranga,Localização,Não,Conheço e utilizo,Cashback,Não,3
18-24 anos,Feminino,Distrito Federal,Semanalmente,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,2
36-49 anos,Prefiro não dizer,Pernambuco,Semanalmente,Gasolina comum,Conforme o uso,Principal fonte de renda,BR,Loja de Conveniência,Sim,Conheço e utilizo,Cashback,Não,3
18-24 anos,Feminino,Rio de Janeiro,Semanalmente,Gasolina comum,Sempre completo,Principal fonte de renda,Ipiranga,Preço,Sim,Utilizo outros,Cashback,Não,1
Mais de 50 anos,Masculino,Rondonia,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Utilizo outros,Cashback,Sim,4
18-24 anos,Masculino,Paraiba,Quinzenalmente,Diesel,Sempre completo,Locomoção para o trabalho,Petrobras,Atendimento,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Masculino,Pernambuco,2-4 vezes na semana,Etanol,Completo as vezes,Lazer,Texaco,Loja de Conveniência,Não,Não conheço,Cashback,Sim,4
36-49 anos,Outros,Roraima,2-4 vezes na semana,Etanol,Conforme o uso,Principal fonte de renda,BR,Preço,Não,Utilizo outros,Cashback,Não,3
18-24 anos,Prefiro não dizer,Alagoas,2-4 vezes na semana,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Texaco,Loja de Conveniência,Sim,Utilizo outros,Cashback,Não,4
Mais de 50 anos,Prefiro não dizer,Paraiba,2-4 vezes na semana,Gasolina comum,Sempre completo,Locomoção para o trabalho,Shell,Loja de Conveniência,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,1
18-24 anos,Feminino,Maranhao,Diariamente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Qualidade do combustível,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
25-35 anos,Prefiro não dizer,Tocantins,Semanalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,Ale,Preço,Sim,Não conheço,Cashback,Não,3
25-35 anos,Prefiro não dizer,Parana,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Shell,Qualidade do combustível,Não,Não conheço,Cashback,Sim,1
Mais de 50 anos,Outros,Rondonia,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Não,Conheço e utilizo,Cashback,Não,5
25-35 anos,Outros,Goias,Quinzenalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,BR,Serviços Adicionais,Sim,Conheço e utilizo,Cashback,Não,1
Mais de 50 anos,Prefiro não dizer,Distrito Federal,Semanalmente,Elétrico,Completo as vezes,Locomoção para o trabalho,BR,Atendimento,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,0
Mais de 50 anos,Prefiro não dizer,Alagoas,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,BR,Serviços Adicionais,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,1
18-24 anos,Prefiro não dizer,Minas Gerais,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,2
Mais de 50 anos,Feminino,Amazonas,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Texaco,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,1
18-24 anos,Prefiro não dizer,Mato Grosso,Semanalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ale,Localização,Sim,Não conheço,Cashback,Não,5
18-24 anos,Outros,Ceara,Semanalmente,GNV,Conforme o uso,Locomoção para o trabalho,BR,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,3
Mais de 50 anos,Prefiro não dizer,Rondonia,Semanalmente,Elétrico,Sempre completo,Lazer,Shell,Serviços Adicionais,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
18-24 anos,Outros,Sergipe,Diariamente,GNV,Conforme o uso,Principal fonte de renda,BR,Serviços Adicionais,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Prefiro não dizer,Amazonas,2-4 vezes na semana,Diesel,Sempre completo,Lazer,Ipiranga,Serviços Adicionais,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Prefiro não dizer,Roraima,Semanalmente,Gasolina comum,Sempre completo,Lazer,Ale,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Prefiro não dizer,Acre,Semanalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,BR,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Prefiro não dizer,Tocantins,Diariamente,Diesel,Sempre completo,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
18-24 anos,Outros,Alagoas,Quinzenalmente,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Ipiranga,Qualidade do combustível,Não,Conheço e utilizo,Cashback,Não,1
Mais de 50 anos,Masculino,Rio de Janeiro,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Ipiranga,Localização,Não,Não conheço,Não utilizo aplicativos/programas de fidelidade,Não,4
Mais de 50 anos,Outros,Goias,Quinzenalmente,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Sim,Não conheço,Cashback,Não,3
36-49 anos,Prefiro não dizer,Maranhao,Diariamente,GNV,Sempre completo,Principal fonte de renda,Shell,Loja de Conveniência,Não,Utilizo outros,Cashback,Não,0
25-35 anos,Masculino,Rio Grande do Sul,Diariamente,Elétrico,Sempre completo,Locomoção para o trabalho,Petrobras,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,4
Mais de 50 anos,Masculino,Tocantins,Diariamente,GNV,Conforme o uso,Locomoção para o trabalho,Shell,Qualidade do combustível,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Prefiro não dizer,Amazonas,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Ale,Localização,Não,Não conheço,Cashback,Não,4
25-35 anos,Masculino,Rio de Janeiro,2-4 vezes na semana,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Atendimento,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Prefiro não dizer,Alagoas,Diariamente,Elétrico,Sempre completo,Principal fonte de renda,Ipiranga,Atendimento,Não,Utilizo outros,Cashback,Não,0
36-49 anos,Masculino,Santa Catarina,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Ale,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,1
Mais de 50 anos,Outros,Bahia,Quinzenalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Qualidade do combustível,Não,Não conheço,Descontos em abastecimento/serviços,Sim,3
18-24 anos,Outros,Sao Paulo,Quinzenalmente,GNV,Sempre completo,Principal fonte de renda,Ipiranga,Localização,Sim,Conheço mas não utilizo,Cashback,Não,3
36-49 anos,Prefiro não dizer,Paraiba,Diariamente,GNV,Completo as vezes,Locomoção para o trabalho,Ale,Serviços Adicionais,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,3
18-24 anos,Masculino,Para,Diariamente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Shell,Preço,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,3
Mais de 50 anos,Prefiro não dizer,Amazonas,Diariamente,Diesel,Conforme o uso,Lazer,Ale,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,5
18-24 anos,Feminino,Piaui,Semanalmente,Diesel,Conforme o uso,Principal fonte de renda,Ale,Qualidade do combustível,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,0
36-49 anos,Masculino,Rio Grande do Sul,Diariamente,Elétrico,Sempre completo,Locomoção para o trabalho,Ale,Preço,Sim,Utilizo outros,Cashback,Não,4
18-24 anos,Prefiro não dizer,Distrito Federal,Quinzenalmente,Diesel,Completo as vezes,Principal fonte de renda,BR,Atendimento,Não,Utilizo outros,Cashback,Não,3
25-35 anos,Masculino,Sao Paulo,Quinzenalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Serviços Adicionais,Não,Não conheço,Cashback,Sim,1
Mais de 50 anos,Masculino,Paraiba,Quinzenalmente,Elétrico,Completo as vezes,Principal fonte de renda,Ipiranga,Qualidade do combustível,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Masculino,Santa Catarina,Quinzenalmente,Gasolina Aditivada,Sempre completo,Lazer,Texaco,Serviços Adicionais,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,2
36-49 anos,Prefiro não dizer,Distrito Federal,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Preço,Não,Não conheço,Cashback,Não,1
Mais de 50 anos,Prefiro não dizer,Distrito Federal,Semanalmente,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Prefiro não dizer,Mato Grosso,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Shell,Loja de Conveniência,Não,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,1
18-24 anos,Outros,Tocantins,Diariamente,Diesel,Sempre completo,Lazer,Ale,Qualidade do combustível,Sim,Utilizo outros,Cashback,Sim,0
Mais de 50 anos,Masculino,Distrito Federal,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Ipiranga,Atendimento,Sim,Não conheço,Cashback,Sim,3
18-24 anos,Prefiro não dizer,Mato Grosso do Sul,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Ipiranga,Serviços Adicionais,Sim,Não conheço,Cashback,Não,3
36-49 anos,Outros,Piaui,Diariamente,Elétrico,Conforme o uso,Lazer,Ale,Loja de Conveniência,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Outros,Para,Quinzenalmente,Diesel,Sempre completo,Lazer,Ipiranga,Qualidade do combustível,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Masculino,Mato Grosso,2-4 vezes na semana,Diesel,Sempre completo,Principal fonte de renda,Ale,Atendimento,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Sim,1
25-35 anos,Feminino,Santa Catarina,Quinzenalmente,Elétrico,Conforme o uso,Lazer,Ipiranga,Serviços Adicionais,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
18-24 anos,Masculino,Piaui,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Ale,Atendimento,Sim,Conheço mas não utilizo,Cashback,Não,3
18-24 anos,Feminino,Sao Paulo,Quinzenalmente,GNV,Conforme o uso,Locomoção para o trabalho,Ale,Atendimento,Sim,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,3
25-35 anos,Outros,Ceara,Quinzenalmente,Etanol,Conforme o uso,Principal fonte de renda,Texaco,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
18-24 anos,Masculino,Rio de Janeiro,Diariamente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Texaco,Atendimento,Sim,Conheço e utilizo,Cashback,Não,5
